salary,rent,groceries,transportation,healthcare,food,shopping,personal_care,education,electricity,water,insurance,loan_emi,loan_interest,loan_term_years,smoke,dine_out_per_week,monthly_savings
3860,2532,566,187,225,325,172,89,166,143,34,469,685,8.300441869210841,4,1,1,0.0
8390,2007,680,235,72,327,221,186,385,87,93,170,726,0.5176062358227196,0,1,5,3139.0426935455553
8226,949,772,257,173,227,356,89,384,188,83,194,377,6.369595162684237,27,1,6,4231.86928594131
8191,2394,562,381,214,130,322,129,183,130,91,340,910,8.185159887677473,10,0,3,2377.5793299568736
6772,1877,789,254,120,440,296,39,423,123,62,462,59,6.963592027652171,8,1,0,2084.199737102047
6092,1096,710,319,279,350,243,151,113,65,44,121,854,8.43122510472348,26,1,2,1747.110208185347
8734,2647,294,266,270,157,161,32,464,141,34,137,395,1.1222834994034192,5,1,2,3668.808016282478
9265,1115,415,421,275,424,72,68,279,159,12,241,602,1.7133469780057287,25,1,5,5322.150837999424
3466,1447,742,278,152,246,364,95,138,114,60,361,5,1.5924538981413239,15,0,6,0.0
8334,2081,334,428,102,205,251,28,376,98,59,337,733,6.345838552609368,5,1,2,3428.776930152169
7426,1055,282,149,154,184,155,78,426,190,22,130,4,9.973064549380448,24,0,3,4583.505235967516
8578,777,590,400,222,101,143,135,105,132,44,480,941,4.151297852804516,23,1,6,4459.652668248155
9231,2513,246,186,226,402,74,22,282,153,98,150,165,9.135707371051863,24,0,5,4520.950432567498
6444,990,591,132,98,470,194,30,139,172,64,486,930,8.924456636472215,1,1,3,2178.5368205539016
6171,754,584,374,160,152,68,24,297,156,27,119,438,8.119427784008591,14,1,1,3041.588514948076
5919,2928,580,240,259,321,259,182,252,75,60,234,63,4.79791920053119,2,0,2,347.9880082750434
3130,1391,276,305,297,124,131,132,487,159,39,413,133,3.1819733108928983,20,0,1,0.0
4685,1041,458,323,224,134,95,171,351,52,49,341,13,0.5601012732735022,20,1,5,1519.0278754617866
3769,1787,598,212,156,256,84,101,328,154,39,216,563,4.789793325808876,12,1,3,0.0
5391,2133,299,377,202,442,251,144,188,122,67,254,177,8.736197020958226,5,1,6,755.5230679212333
8611,1324,700,452,140,465,72,153,121,114,97,112,272,4.810372564168692,17,1,3,4367.083621927633
9949,1852,582,104,204,244,349,105,411,195,99,104,904,0.016284314757493146,23,1,0,4954.203069654491
5433,780,391,481,189,435,314,61,401,116,74,164,679,7.954090874257728,29,0,2,1250.0484652114517
8311,1798,779,311,200,486,395,62,219,191,81,244,990,1.2901558676526281,11,0,0,2514.361091593947
8051,1272,544,355,66,377,398,161,283,81,21,264,547,1.6454009999362207,0,1,3,3703.9596232658296
9420,827,209,433,93,497,236,44,305,150,17,499,73,2.3377427537564954,29,1,1,5986.357807398327
4184,2758,463,129,120,486,347,37,189,198,84,245,346,1.9431061834478858,11,0,4,0.0
7555,1422,467,446,174,393,239,171,215,155,87,447,560,7.16656234153837,22,0,3,2717.003526324954
6385,1051,770,181,201,442,289,125,262,182,27,358,435,9.406835915516416,21,1,0,1982.0419108546944
7117,2573,394,335,248,376,398,20,499,116,74,344,196,1.1707744581862,24,1,5,1607.331215811495
9396,2574,761,443,142,278,176,34,203,157,94,227,208,3.9000683696699756,29,0,2,3794.8460268232916
7843,1201,606,487,109,379,340,53,247,51,19,321,30,6.0142556303278125,29,0,6,3837.4587675397547
5904,2419,495,460,102,451,160,199,370,92,46,323,184,4.72632981286019,22,1,5,599.265290526547
3474,2960,296,422,269,400,92,21,209,178,38,177,589,3.491236795374081,27,0,6,0.0
4082,666,661,352,264,296,350,183,299,74,55,116,470,2.235655580638505,27,1,0,352.67759860298384
5558,668,286,217,123,324,183,170,379,139,97,182,107,5.528543881939459,23,1,0,2386.6935430224567
5047,728,276,129,193,146,62,171,324,170,53,416,860,5.082724153453704,1,0,3,1466.5895684980744
